,Epoch,Training Loss,Testing Loss,Training Accuracy,Testing Accuracy
0,1,0.0150,0.0140,0.28180000000000005,0.3461
1,2,0.0139,0.0136,0.34544,0.3638
2,3,0.0136,0.0127,0.35956000000000005,0.4091
3,4,0.0136,0.0132,0.36310000000000003,0.37060000000000004
4,5,0.0135,0.0128,0.37036,0.41040000000000004
5,6,0.0125,0.0118,0.4187,0.4499
6,7,0.0123,0.0114,0.42598,0.46830000000000005
7,8,0.0123,0.0115,0.42414,0.47400000000000003
8,9,0.0121,0.0117,0.4394,0.46780000000000005
9,10,0.0121,0.0116,0.44016000000000005,0.46830000000000005
10,11,0.0115,0.0106,0.46804,0.509
11,12,0.0114,0.0105,0.47082,0.5201
12,13,0.0113,0.0103,0.47766000000000003,0.5275000000000001
13,14,0.0112,0.0102,0.4837,0.5333
14,15,0.0112,0.0102,0.48576,0.5372
15,16,0.0108,0.0100,0.50358,0.544
16,17,0.0107,0.0100,0.5086400000000001,0.5443
17,18,0.0106,0.0098,0.51242,0.5474
18,19,0.0106,0.0100,0.51226,0.5393
19,20,0.0106,0.0100,0.5131,0.5435
20,21,0.0104,0.0096,0.52276,0.5585
21,22,0.0103,0.0096,0.52368,0.5609000000000001
22,23,0.0103,0.0096,0.5290400000000001,0.5630000000000001
23,24,0.0103,0.0095,0.52868,0.5666
24,25,0.0103,0.0094,0.52886,0.5690000000000001
25,26,0.0101,0.0094,0.53696,0.5739000000000001
26,27,0.0101,0.0095,0.5359400000000001,0.5702
27,28,0.0101,0.0094,0.5408400000000001,0.5714
28,29,0.0101,0.0094,0.53642,0.5690000000000001
29,30,0.0101,0.0093,0.5381600000000001,0.5785
