0,1,2,3,4,5,6,7,8,9
17512.0,1540.0,1851.0,538.0,461.0,303.0,411.0,605.0,4324.0,2455.0
696.0,20387.0,158.0,396.0,65.0,236.0,543.0,298.0,1302.0,5919.0
2462.0,770.0,10898.0,2451.0,3832.0,3022.0,3241.0,1834.0,768.0,722.0
906.0,878.0,2212.0,10139.0,1848.0,5975.0,3520.0,2032.0,865.0,1625.0
1187.0,500.0,3174.0,2083.0,12951.0,1275.0,4124.0,3678.0,534.0,494.0
505.0,392.0,2372.0,5455.0,1397.0,14259.0,1274.0,3075.0,516.0,755.0
254.0,485.0,1763.0,2518.0,1971.0,811.0,20338.0,908.0,260.0,692.0
567.0,483.0,1451.0,1634.0,2101.0,2745.0,675.0,18404.0,183.0,1757.0
3519.0,2543.0,448.0,583.0,107.0,257.0,167.0,277.0,20407.0,1692.0
1028.0,6331.0,262.0,428.0,198.0,247.0,424.0,800.0,1889.0,18393.0
