0,1,2,3,4,5,6,7,8,9
18155.0,1441.0,1840.0,982.0,451.0,172.0,515.0,635.0,4147.0,1662.0
1226.0,19060.0,293.0,368.0,52.0,191.0,682.0,334.0,1839.0,5955.0
2480.0,478.0,10645.0,3203.0,4241.0,2982.0,2777.0,1814.0,850.0,530.0
660.0,695.0,2299.0,12782.0,1977.0,4964.0,3045.0,2023.0,573.0,982.0
1181.0,378.0,3360.0,2855.0,13031.0,1668.0,3868.0,2837.0,548.0,274.0
442.0,336.0,2370.0,6733.0,1654.0,13782.0,1315.0,2586.0,298.0,484.0
186.0,614.0,1647.0,3030.0,2623.0,735.0,19778.0,716.0,189.0,482.0
590.0,450.0,1129.0,2620.0,2439.0,3680.0,801.0,16739.0,154.0,1398.0
4556.0,2540.0,427.0,760.0,380.0,255.0,318.0,340.0,18615.0,1809.0
1405.0,5963.0,266.0,776.0,152.0,204.0,656.0,1113.0,1712.0,17753.0
