Epoch,Train Loss,Train Acc,Test Loss,Test Acc,F1 Score
1,0.011098794801235198,0.28226,0.009508762669563294,0.3503,0.3224334465730562
2,0.010098922936916352,0.32864,0.009320471817255021,0.3835,0.37010808149489566
3,0.009842346022129059,0.34906,0.009105911153554917,0.3787,0.3596826493660793
4,0.009816706752777099,0.35038,0.008972693312168122,0.3978,0.38615376917712146
5,0.009617568660974503,0.36168,0.009487853962183,0.361,0.3351239457046101
6,0.008762770729064942,0.40314,0.008045037132501601,0.4435,0.43449469414868525
7,0.008544060070514678,0.41406,0.007828738111257554,0.4521,0.4381214348130422
8,0.00847327621936798,0.41982,0.007907674461603165,0.4621,0.4636072036643888
9,0.008320512262582779,0.42702,0.007812556213140488,0.4648,0.4434756104215575
10,0.00830089696764946,0.43022,0.00788464007973671,0.4545,0.44235179178376055
11,0.0078090942466259,0.45712,0.0072845816552639005,0.4817,0.4758051209314337
12,0.007607944660186767,0.4716,0.007140999746322632,0.5039,0.4979911830980593
13,0.007592598094940186,0.4689,0.007284141451120376,0.4953,0.49691140195954486
14,0.007560019607543945,0.47166,0.006949723100662232,0.5161,0.5095165316505484
15,0.007470254677534103,0.477,0.006845314979553222,0.5215,0.5205409747877855
16,0.0071458861076831815,0.50016,0.006594062274694443,0.5341,0.5325310341573658
17,0.007091875516176223,0.49996,0.006604661476612091,0.5328,0.5312861688027918
18,0.007044916659593582,0.5022,0.006500885593891143,0.539,0.5351277978461376
19,0.0070738442516326905,0.49976,0.006568108069896698,0.5276,0.5263547327677599
20,0.0070291401302814485,0.50244,0.0065896247029304505,0.5225,0.5147337754611997
21,0.006816990736722946,0.51598,0.006343042612075806,0.5484,0.5436513356525452
22,0.006775409638881683,0.5167,0.0062831669390201565,0.5475,0.5463108606521515
23,0.0067632134139537815,0.51626,0.006288356024026871,0.5513,0.547011065108671
24,0.006718905334472656,0.51574,0.006310296261310577,0.5499,0.5438741415765329
25,0.00672822327375412,0.52254,0.006250914818048477,0.5587,0.5595086452780766
26,0.0066363428521156315,0.52416,0.006113740128278733,0.5589,0.5561618152461006
27,0.006602791258096695,0.52848,0.00619336895942688,0.5501,0.5452227746325526
28,0.006550969699621201,0.52914,0.006107771694660187,0.5621,0.558396751913545
29,0.0065923058593273165,0.52724,0.006077180862426758,0.5652,0.5631188988714544
30,0.006514986963272094,0.53262,0.006059263676404953,0.5638,0.5605485166399675
