acc,precision,recall,f1score_micro,f1score_macro
0.35140002,0.3893989,0.35140002,0.3514,0.33151126
0.38120002,0.38027132,0.38120002,0.3812,0.35597184
0.37769997,0.3944533,0.37769997,0.3777,0.3552758
0.4106,0.42211482,0.4106,0.4106,0.3989312
0.4156,0.4198539,0.4156,0.4156,0.39387757
0.4553,0.46490932,0.4553,0.4553,0.4378317
0.4544,0.4753013,0.4544,0.4544,0.44843453
0.46310002,0.47845504,0.46310002,0.4631,0.44148535
0.454,0.5037215,0.454,0.454,0.4366537
0.4689,0.48665747,0.4689,0.4689,0.45935628
0.4825,0.49692628,0.4825,0.4825,0.47103885
0.5007,0.5023128,0.5007,0.5007,0.4935776
0.5188,0.5226631,0.5188,0.5188,0.50675046
0.518,0.52744067,0.518,0.518,0.51413393
0.5104,0.5309975,0.5104,0.5104,0.50886667
0.53980005,0.54032344,0.53980005,0.5398,0.53657246
0.53990006,0.5402276,0.53990006,0.5399,0.5355709
0.5407,0.5469515,0.5407,0.5407,0.5368235
0.5467,0.5497371,0.5467,0.5467,0.5427861
0.5327,0.5404377,0.5327,0.5327,0.529986
0.55200005,0.55129653,0.55200005,0.552,0.55055
0.5551,0.5553124,0.5551,0.5551,0.5523123
0.5499,0.5450636,0.5499,0.5499,0.5431185
0.5576,0.55899906,0.5576,0.5576,0.5550127
0.54780006,0.54685867,0.54780006,0.5478,0.53891313
0.5552,0.55709815,0.5552,0.5552,0.55426025
0.5581,0.55677235,0.5581,0.5581,0.55608433
0.5671,0.5641575,0.5671,0.5671,0.56419134
0.5614,0.5591929,0.5614,0.5614,0.55735713
0.5668,0.56650925,0.5668,0.5668,0.5627744
0.5669,0.5667194,0.5669,0.5669,0.5655835
0.5704,0.56818277,0.5704,0.5704,0.5670104
0.56630003,0.5627481,0.56630003,0.5663,0.56348497
0.57,0.5678787,0.57,0.57,0.5666742
0.5688,0.56475997,0.5688,0.5688,0.5646772
0.5674,0.5648589,0.5674,0.5674,0.56478053
0.56949997,0.5671399,0.56949997,0.5695,0.5669317
0.56740004,0.56202316,0.56740004,0.5674,0.56257206
0.56740004,0.56274265,0.56740004,0.5674,0.56261045
0.56659997,0.56064427,0.56659997,0.5666,0.56160367
0.569,0.5660562,0.569,0.569,0.5657598
0.56769997,0.5628941,0.56769997,0.5677,0.5640644
0.56860006,0.5654235,0.56860006,0.5686,0.56570697
0.5681,0.5667777,0.5681,0.5681,0.565676
0.5681,0.5656183,0.5681,0.5681,0.56543654
0.5691999,0.56573856,0.5691999,0.5692,0.56638825
0.5684,0.56489336,0.5684,0.5684,0.5653473
0.5696,0.56628275,0.5696,0.5696,0.56668746
0.56780005,0.5639323,0.56780005,0.5678,0.5647031
0.5701,0.56621146,0.5701,0.5701,0.5667691
