acc,precision,recall,f1score_micro,f1score_macro
0.3254,0.34303853,0.3254,0.3254,0.2964479
0.4562,0.4857527,0.4562,0.4562,0.42550576
0.5176,0.54486454,0.5176,0.5176,0.5061431
0.57559997,0.6095043,0.57559997,0.5756,0.560343
0.6859,0.6966886,0.6859,0.6859,0.68135685
0.7355,0.75001955,0.7355,0.7355,0.73500645
0.7473,0.7760724,0.7473,0.7473,0.749562
0.7718,0.782966,0.7718,0.7718,0.77304626
0.7823,0.79101074,0.7823,0.7823,0.7826863
0.78700006,0.79993904,0.78700006,0.787,0.7876751
0.8362,0.83731234,0.8362,0.8362,0.8348899
0.8409,0.8470236,0.8409,0.8409,0.84267616
0.83879995,0.8431235,0.83879995,0.8388,0.8392642
0.8414,0.84556466,0.8414,0.8414,0.8414123
0.8409,0.8478484,0.8409,0.8409,0.8427732
0.86410004,0.8652232,0.86410004,0.8641,0.86393386
0.869,0.8684386,0.869,0.869,0.86830705
0.8682,0.8685156,0.8682,0.8682,0.8680299
0.87029994,0.8737794,0.87029994,0.8703,0.8708072
0.8685,0.86942446,0.8685,0.8685,0.86824536
0.8735,0.8733659,0.8735,0.8735,0.8725243
0.876,0.87610435,0.876,0.876,0.87543064
0.8745,0.87587464,0.8745,0.8745,0.8748196
0.87549996,0.87621826,0.87549996,0.8755,0.87536216
0.877,0.8793162,0.877,0.877,0.87767166
0.8801,0.8830091,0.8801,0.8801,0.88072026
0.8822,0.8825713,0.8822,0.8822,0.8821134
0.8817,0.88126385,0.8817,0.8817,0.8812507
0.88210005,0.88280004,0.88210005,0.8821,0.8822909
0.8823,0.883627,0.8823,0.8823,0.88265526
0.88479996,0.8851324,0.88479996,0.8848,0.88481504
0.8822,0.8824656,0.8822,0.8822,0.8821553
0.8823,0.8824595,0.8823,0.8823,0.8822442
0.88180006,0.8825513,0.88180006,0.8818,0.8819699
0.88250005,0.88295746,0.88250005,0.8825,0.88259625
0.8832,0.8838112,0.8832,0.8832,0.88336647
0.8844,0.885361,0.8844,0.8844,0.8846598
0.884,0.884277,0.884,0.884,0.8840636
0.8857,0.8859204,0.8857,0.8857,0.8857337
0.88449997,0.8849089,0.88449997,0.8845,0.88462216
0.8854,0.88611937,0.8854,0.8854,0.8855982
0.8869,0.88748944,0.8869,0.8869,0.88708013
0.8861,0.88646674,0.8861,0.8861,0.88616484
0.8846,0.88500136,0.8846,0.8846,0.8847146
0.8853,0.8857059,0.8853,0.8853,0.88541305
0.8853,0.88534546,0.8853,0.8853,0.8852773
0.88540006,0.8854067,0.88540006,0.8854,0.88534427
0.88629997,0.88654214,0.88629997,0.8863,0.88637275
0.88629997,0.8867626,0.88629997,0.8863,0.8864474
0.88519996,0.8856309,0.88519996,0.8852,0.885332
