acc,precision,recall,f1score_micro,f1score_macro
0.37080002,0.43170357,0.37080002,0.3708,0.35424304
0.3789,0.42258036,0.3789,0.3789,0.35458386
0.3982,0.39676934,0.3982,0.3982,0.37192076
0.4036,0.4303555,0.4036,0.4036,0.37895527
0.41120005,0.4339316,0.41120005,0.4112,0.38405013
0.4779,0.47629595,0.4779,0.4779,0.45960012
0.47190002,0.4823044,0.47190002,0.4719,0.46485156
0.488,0.48126233,0.488,0.488,0.47684672
0.4601,0.48377156,0.4601,0.4601,0.44155774
0.485,0.5014728,0.485,0.485,0.4775187
0.5169,0.5164209,0.5169,0.5169,0.5098858
0.5172,0.5143289,0.5172,0.5172,0.51115113
0.5348,0.53260636,0.5348,0.5348,0.53028345
0.51669997,0.5259151,0.51669997,0.5167,0.5081047
0.518,0.5285356,0.518,0.518,0.515982
0.5436,0.54461855,0.5436,0.5436,0.5399507
0.5446,0.54248726,0.5446,0.5446,0.5412208
0.5431,0.54598016,0.5431,0.5431,0.53814495
0.5351,0.5418135,0.5351,0.5351,0.530048
0.5537,0.5502132,0.5537,0.5537,0.54822963
0.5585,0.5565077,0.5585,0.5585,0.55551946
0.5587,0.5540984,0.5587,0.5587,0.5549072
0.5533,0.549411,0.5533,0.5533,0.54856205
0.56069994,0.56177264,0.56069994,0.5607,0.5585569
0.55090004,0.54789513,0.55090004,0.5509,0.5418437
0.5578,0.55661666,0.5578,0.5578,0.55507416
0.56299996,0.56286263,0.56299996,0.563,0.56206554
0.5655,0.561931,0.5655,0.5655,0.56166035
0.5611,0.5576976,0.5611,0.5611,0.55602384
0.5654,0.56102645,0.5654,0.5654,0.5603076
0.5691,0.56669426,0.5691,0.5691,0.56646824
0.56920004,0.5665128,0.56920004,0.5692,0.565416
0.5662,0.56387496,0.5662,0.5662,0.563368
0.5703,0.56615007,0.5703,0.5703,0.5650394
0.5688,0.56376714,0.5688,0.5688,0.5638398
0.5724,0.5684001,0.5724,0.5724,0.56918335
0.5711,0.5665209,0.5711,0.5711,0.5676888
0.5688,0.56374484,0.5688,0.5688,0.5632796
0.5715,0.56692886,0.5715,0.5715,0.56638896
0.56990004,0.56401193,0.56990004,0.5699,0.5648203
0.5685,0.5638005,0.5685,0.5685,0.56426316
0.5677,0.56271183,0.5677,0.5677,0.5633427
0.57229996,0.56689644,0.57229996,0.5723,0.56818223
0.5712,0.56840277,0.5712,0.5712,0.5676797
0.5711,0.56581163,0.5711,0.5711,0.5668713
0.57289994,0.568485,0.57289994,0.5729,0.56934035
0.5732,0.5681314,0.5732,0.5732,0.56912214
0.5728,0.56924427,0.5728,0.5728,0.5695008
0.5727,0.5673398,0.5727,0.5727,0.5687045
0.5733,0.56864595,0.5733,0.5733,0.5695966
