acc,precision,recall,f1score_micro,f1score_macro
0.38770002,0.41516572,0.38770002,0.3877,0.37788695
0.3894,0.4187336,0.3894,0.3894,0.37899715
0.41500002,0.42134488,0.41500002,0.415,0.40868098
0.3751,0.40695193,0.3751,0.3751,0.35741788
0.36370003,0.3870415,0.36370003,0.3637,0.33028525
0.46899998,0.46725944,0.46899998,0.469,0.46218735
0.444,0.4529115,0.444,0.444,0.43595114
0.4464,0.4659419,0.4464,0.4464,0.42304683
0.481,0.47905368,0.481,0.481,0.47018832
0.44550002,0.47565877,0.44550002,0.4455,0.4372037
0.4885,0.49951333,0.4885,0.4885,0.47752315
0.50090003,0.50641495,0.50090003,0.5009,0.49696335
0.5115,0.5223987,0.5115,0.5115,0.49718833
0.5167,0.5184402,0.5167,0.5167,0.50951344
0.5065,0.51734936,0.5065,0.5065,0.50547177
0.5336,0.53912,0.5336,0.5336,0.53116864
0.5415,0.53872865,0.5415,0.5415,0.5377807
0.5348,0.54172385,0.5348,0.5348,0.5321673
0.5392,0.53917354,0.5392,0.5392,0.53542036
0.5341,0.5382002,0.5341,0.5341,0.5270848
0.5514,0.5501829,0.5514,0.5514,0.54903054
0.555,0.5570493,0.555,0.555,0.55166006
0.5521,0.54841447,0.5521,0.5521,0.54497707
0.55770004,0.56107676,0.55770004,0.5577,0.5549795
0.54199994,0.5407661,0.54199994,0.542,0.53510475
0.55799997,0.5570953,0.55799997,0.558,0.5556282
0.5655,0.5635615,0.5655,0.5655,0.56192
0.56619996,0.5626944,0.56619996,0.5662,0.560653
0.5677,0.56567013,0.5677,0.5677,0.5642912
0.56920004,0.57034975,0.56920004,0.5692,0.5667541
0.569,0.56965965,0.569,0.569,0.5666112
0.5742,0.5724492,0.5742,0.5742,0.57099783
0.57079995,0.56912166,0.57079995,0.5708,0.56773055
0.5697,0.5677286,0.5697,0.5697,0.5650642
0.5743,0.5705542,0.5743,0.5743,0.57018155
0.5755,0.5720902,0.5755,0.5755,0.57215166
0.5749999,0.57184863,0.5749999,0.575,0.57198316
0.5716,0.5689709,0.5716,0.5716,0.5667387
0.575,0.571499,0.575,0.575,0.5707599
0.5725,0.5681771,0.5725,0.5725,0.56815094
0.57570004,0.5722722,0.57570004,0.5757,0.5721705
0.5755,0.5711349,0.5755,0.5755,0.5713469
0.57860005,0.57363737,0.57860005,0.5786,0.574551
0.574,0.57291466,0.574,0.574,0.57013965
0.57490003,0.57118165,0.57490003,0.5749,0.5717257
0.5761,0.572437,0.5761,0.5761,0.57277584
0.5769,0.5737782,0.5769,0.5769,0.57380086
0.5769,0.5741673,0.5769,0.5769,0.57373095
0.5762,0.57254726,0.5762,0.5762,0.5728304
0.57720006,0.5735675,0.57720006,0.5772,0.5736211
