acc,precision,recall,f1score_micro,f1score_macro
0.2373,0.1460495,0.2373,0.2373,0.17883953
0.2603,0.21975103,0.2603,0.2603,0.20164323
0.31730002,0.24278577,0.31730002,0.3173,0.25778896
0.3243,0.26063702,0.3243,0.3243,0.28187513
0.3364,0.27571133,0.3364,0.3364,0.28102863
0.3484,0.28695518,0.3484,0.3484,0.2918223
0.35189998,0.2917642,0.35189998,0.3519,0.3029333
0.3702,0.30716884,0.3702,0.3702,0.3187763
0.3882,0.31430355,0.3882,0.3882,0.3374041
0.4104,0.33368504,0.4104,0.4104,0.3585895
0.41359997,0.33441526,0.41359997,0.4136,0.3634084
0.4199,0.3499114,0.4199,0.4199,0.36422706
0.4204,0.35015476,0.4204,0.4204,0.36538982
0.4275,0.3546291,0.4275,0.4275,0.380848
0.4301,0.3565036,0.4301,0.4301,0.37995303
0.4371,0.35565925,0.4371,0.4371,0.38250887
0.43910003,0.3579946,0.43910003,0.4391,0.38602406
0.4457,0.36050484,0.4457,0.4457,0.39222592
0.44720003,0.35740727,0.44720003,0.4472,0.39434552
0.4413,0.35832757,0.4413,0.4413,0.3856058
0.4487,0.3672592,0.4487,0.4487,0.39527315
0.4497,0.366704,0.4497,0.4497,0.39800996
0.44959998,0.3683875,0.44959998,0.4496,0.39744526
0.45389998,0.36663967,0.45389998,0.4539,0.40032798
0.4528,0.3669774,0.4528,0.4528,0.39909256
0.4545,0.36720923,0.4545,0.4545,0.3992254
0.455,0.36997676,0.455,0.455,0.39951628
0.45819998,0.37061384,0.45819998,0.4582,0.40227616
0.4563,0.36868554,0.4563,0.4563,0.40125883
0.4585,0.3726058,0.4585,0.4585,0.40240926
0.4571,0.3710888,0.4571,0.4571,0.40158302
0.4585,0.3725701,0.4585,0.4585,0.40396333
0.4573,0.37097317,0.4573,0.4573,0.4021145
0.45820004,0.36998525,0.45820004,0.4582,0.40271205
0.4591,0.37017584,0.4591,0.4591,0.40442777
0.4601,0.37284383,0.4601,0.4601,0.4046921
0.4596,0.37173653,0.4596,0.4596,0.4044455
0.4596,0.3738881,0.4596,0.4596,0.40466616
0.4594,0.37249392,0.4594,0.4594,0.40569696
0.45920002,0.37101096,0.45920002,0.4592,0.4043674
0.46019998,0.3736734,0.46019998,0.4602,0.40618348
0.4601,0.37204993,0.4601,0.4601,0.4053927
0.46060002,0.3731205,0.46060002,0.4606,0.4060983
0.4595,0.37269104,0.4595,0.4595,0.40512824
0.4598,0.37310952,0.4598,0.4598,0.4049608
0.4601,0.37287593,0.4601,0.4601,0.40557832
0.46049997,0.3729268,0.46049997,0.4605,0.40613717
0.46069998,0.3728902,0.46069998,0.4607,0.40598014
0.4601,0.3728943,0.4601,0.4601,0.40553594
0.45960003,0.37263274,0.45960003,0.4596,0.40520597
