acc,precision,recall,f1score_micro,f1score_macro
0.3254,0.36558846,0.3254,0.3254,0.2774826
0.4359,0.44610026,0.4359,0.4359,0.41836518
0.4753,0.5085442,0.4753,0.4753,0.46642482
0.5685,0.58675176,0.5685,0.5685,0.55977756
0.6408,0.6473558,0.6408,0.6408,0.63525623
0.6887,0.6946437,0.6887,0.6887,0.6891712
0.72730005,0.7357539,0.72730005,0.7273,0.7274128
0.7493,0.75334096,0.7493,0.7493,0.7459705
0.75820005,0.76959896,0.75820005,0.7582,0.75876546
0.7533,0.7667146,0.7533,0.7533,0.7515688
0.8016,0.80412006,0.8016,0.8016,0.8017143
0.8133,0.8200979,0.8133,0.8133,0.8146481
0.811,0.81436527,0.811,0.811,0.8106868
0.8103,0.82159686,0.8103,0.8103,0.8129018
0.8276,0.8324912,0.8276,0.8276,0.8287412
0.84929997,0.8509481,0.84929997,0.8493,0.8495174
0.84769994,0.84783506,0.84769994,0.8477,0.84723616
0.84529996,0.8447324,0.84529996,0.8453,0.8441169
0.85309994,0.85726935,0.85309994,0.8531,0.85434186
0.8463,0.84700227,0.8463,0.8463,0.84578234
0.8608,0.8602296,0.8608,0.8608,0.8597404
0.8624,0.86224043,0.8624,0.8624,0.8618543
0.86120003,0.86285686,0.86120003,0.8612,0.8617382
0.8651,0.86507535,0.8651,0.8651,0.8646175
0.8634,0.8637952,0.8634,0.8634,0.86342275
0.86649996,0.8699021,0.86649996,0.8665,0.86726725
0.8687,0.8689598,0.8687,0.8687,0.8685096
0.8697,0.8694949,0.8697,0.8697,0.8693296
0.8711,0.87096983,0.8711,0.8711,0.8709728
0.87250006,0.87357295,0.87250006,0.8725,0.872656
0.8722,0.8727654,0.8722,0.8722,0.8722091
0.8725,0.8723083,0.8725,0.8725,0.87224793
0.8725,0.872463,0.8725,0.8725,0.87232995
0.87060004,0.8707377,0.87060004,0.8706,0.8705245
0.8706,0.870698,0.8706,0.8706,0.8704389
0.872,0.87249494,0.872,0.872,0.8720828
0.8736,0.8739141,0.8736,0.8736,0.8736422
0.8742,0.87397015,0.8742,0.8742,0.8740293
0.8732,0.8732948,0.8732,0.8732,0.8731213
0.8754,0.87577677,0.8754,0.8754,0.87546396
0.8737,0.8744393,0.8737,0.8737,0.8738768
0.8735,0.87400424,0.8735,0.8735,0.87362605
0.8737,0.8739561,0.8737,0.8737,0.8736942
0.875,0.8753034,0.875,0.875,0.87508744
0.8739,0.8742744,0.8739,0.8739,0.8739815
0.8754,0.8752616,0.8754,0.8754,0.8752731
0.8754,0.87523127,0.8754,0.8754,0.8752291
0.876,0.87616456,0.876,0.876,0.8760153
0.8739,0.8742802,0.8739,0.8739,0.87401915
0.8745,0.8748119,0.8745,0.8745,0.8745371
