acc,precision,recall,f1score_micro,f1score_macro
0.2615,0.106085286,0.2615,0.2615,0.14924833
0.2929,0.11715609,0.2929,0.2929,0.16723871
0.3199,0.1285677,0.3199,0.3199,0.18326354
0.3596,0.1889767,0.3596,0.3596,0.24358442
0.3741,0.2974094,0.3741,0.3741,0.30672243
0.4447,0.31707317,0.4447,0.4447,0.3592127
0.4741,0.34648097,0.4741,0.4741,0.38862926
0.4795,0.34973612,0.4795,0.4795,0.39099777
0.4903,0.36144778,0.4903,0.4903,0.40247607
0.505,0.37932897,0.505,0.505,0.41919437
0.5124,0.38161984,0.5124,0.5124,0.42528468
0.52390003,0.3888407,0.52390003,0.5239,0.43831062
0.5249,0.39541346,0.5249,0.5249,0.43872273
0.5317,0.3893946,0.5317,0.5317,0.44229257
0.52559996,0.39235675,0.52559996,0.5256,0.4378963
0.5566,0.4083619,0.5566,0.5566,0.46408978
0.55689996,0.4124126,0.55689996,0.5569,0.46483204
0.5577,0.41422004,0.5577,0.5577,0.46455738
0.5537,0.40851676,0.5537,0.5537,0.46281874
0.5643,0.41176498,0.5643,0.5643,0.46956605
0.572,0.42540553,0.572,0.572,0.47855455
0.57350004,0.42329413,0.57350004,0.5735,0.4787557
0.5754,0.42267287,0.5754,0.5754,0.480061
0.5754,0.42258757,0.5754,0.5754,0.48073
0.5767,0.42557898,0.5767,0.5767,0.48180297
0.5802,0.42767885,0.5802,0.5802,0.48490185
0.5825,0.43888745,0.5825,0.5825,0.4870832
0.58519995,0.47332272,0.58519995,0.5852,0.4929893
0.5885,0.46991336,0.5885,0.5885,0.50351393
0.599,0.49220613,0.599,0.599,0.5292298
0.6006,0.49667323,0.6006,0.6006,0.53203714
0.5996,0.4953097,0.5996,0.5996,0.531348
0.6031,0.49991566,0.6031,0.6031,0.5364884
0.60469997,0.50015104,0.60469997,0.6047,0.5375881
0.60679996,0.50535905,0.60679996,0.6068,0.54165137
0.6089,0.50715363,0.6089,0.6089,0.5439267
0.6086,0.5080412,0.6086,0.6086,0.5436616
0.6092,0.5101743,0.6092,0.6092,0.5453261
0.6099,0.5090744,0.6099,0.6099,0.5449009
0.61010003,0.50943136,0.61010003,0.6101,0.54565734
0.6109,0.51062983,0.6109,0.6109,0.54667526
0.6123,0.5106854,0.6123,0.6123,0.5473497
0.6114,0.5093421,0.6114,0.6114,0.54630363
0.6115,0.5113348,0.6115,0.6115,0.5472306
0.6112,0.508781,0.6112,0.6112,0.54598486
0.6122,0.5139593,0.6122,0.6122,0.5483335
0.611,0.5096053,0.611,0.611,0.54604113
0.6119,0.51088214,0.6119,0.6119,0.54728377
0.6114,0.5080093,0.6114,0.6114,0.5462146
0.6136,0.51241505,0.6136,0.6136,0.54927725
